index,Title,Opinion,Place,Gender,Age,Country,Date,Label
22,"""Debería estar en el último lugar de cosas por hacer en Guanajuato""","""¡Se encuentra a 10 min de centro caminando pero de subida! Después de la cansada caminata hicimos fila para entrar de aproximadamente 1 hora. Pagamos 55 pesos por persona por la entrada, ¿y que encontramos? 3 o 4 salones con momias un amontonamiento de gente y un calor sofocante, porque no tienen aire acondicionado ¿ok?, tienen algunos abanicos para ventilar el lugar. Aparte si quieres tomar fotos por derecho de cámara te cobran 20 pesos aparte de tu entrada. En resumidas me arrepiento de haber perdido mi tiempo y dinero en esta atracción.""",Museo de las Momias,Male,34,México,23/04/2014,1
23,"""Tomada de pelo""","""El museo más caro, feo y descuidado que he visitado de la República Mexicana. Es un robo lo que cobran por lo que tienen dentro es una tomada de pelo. Atención turistas.""",Museo de las Momias,Female,35,México,10/01/2016,1
24,"""Nada especial""","""Si vas corto de tiempo, no te molestes en incluir este punto en tu recorrido. Lo que encuentras son playeras con el nombre de la cuidad, artesanías de barro y dulces (que igual los encuentras por toda la ciudad y en cada paseo).
Tuve ademas la ocurrencia de comer aquí y fue lo peor. La chica que me atendió tomaba la comida con las manos, después cobraba, se mordía las uñas y metió el dedo en el agua de fruta de otra persona para sacarle una basurita. Entiendo que era un mercado pero nunca había visto tantos hábitos sucios juntos.""",Mercado Hidalgo,Female,-1,México,05/10/2015,1
25,Pequeño y con poca información,"Trampa de turistas. Fila de mínimo una hora para un recorrido de 30 minutos máximo. No vale la pena para la espera y el costo del museo. Si buscas aprender algo saldrás sin conocer nada de las momias, hay muy pocas explicaciones y no hay ningún guía al que puedas hacer preguntas. No vale la pena",Museo de las Momias,Female,-1,México,2018,1
26,"""Malísimo""","""No vale la pena ir a este museo. Puede ser el peor museo que he visitado en la vida. No pierdan su tiempo con tantas cosas hermosas para hacer en Guanajuato. No íbamos a ir pero estaba incluido en un tour organizado por el hotel y nos tocó entrar. Muy feo. Le doy la peor calificación. Pésimo.""",Museo de las Momias,Male,48,Colombia,25/06/2015,1
27,Puro Morbo,"El recorrido no dura más de 30 min, no vale la pena en lo absoluto, realmente hay muchísimos lugares más que visitar en los cuales aprovechar tu tiempo y dinero y en los que SI sales con un poco más de cultura.
Sobre el guía no hay quejas.",Museo de las Momias,Female,-1,México,2018,1
28,"""Nada interesante""","""Poco llamativa realmente, para mi gusto no va más allá de un simple templo común. Se mira más interesante el templo que está al lado del Teatro Juárez.""",Basilica Colegiata,Male,30,México,13/08/2014,1
29,"""Un callejón""","""Fui a visitar el callejón pensando que encontraría algo interesante, y solo vi eso, un callejón lleno de turistas, un ""guía"" cobrando a los turistas, y nada más. La verdad, de cualquier cosa se saca un negocio con los turistas.""",Callejón del Beso,Male,28,México,04/07/2016,1
30,Tienes que visitarla,"Debes visitarla y quedarte a escuchar toda la historia es maravilloso cuando escuchas el relato y es como si te transportaras a esa epoca, me encanto la visita",Alhóndiga,Female,-1,México,2018,1
31,"""¡Que decepcionante!""","""Los visitantes han dañado el lugar, están grafiteadas las paredes, han colocado candados en los balcones la imagen es muy desagradable, que pena que dañan algo tan tradicional y con tanta historia.""",Callejón del Beso,Female,24,México,24/09/2016,1
32,"""Horrible""","""Increíble que se haya hecho un museo con cadáveres exhumados de un cementerio en vez de haberles dado sepultura.""",Museo de las Momias,Male,37,Argentina,21/11/2015,1
33,"""Unos abusivos de primera…""","""Ni se molesten en comer algo aquí, abusan si te ven cara de turista. Hasta los refrescos son más caros... Increíblemente encontrarán mejores opciones en los cientos de restaurantes que hay en todo Guanajuato.""",Mercado Hidalgo,Male,-1,México,03/06/2016,1
34,Momia de bebé muerto en año 2000,"Con eso queda todo dicho. Cadáveres sin aportación alguna a la historia o ciencia, más allá de la curiosidad del proceso natural de involuntaria momificación.
Momia de una mujer enterrada viva, otra de una mujer fallecida durante parto con cesárea y de su feto/bebé...
Personas fallecidas durante los últimos 150 años (cuyos familiares pobres no pudieron seguir pagando su tumba) convertidas en atracción turístico-festiva. El museo está organizado de forma muy profesional, pero me parece: vergonzoso, morboso, irrespetuoso, y seguiría adjetivando. Guanajuato es una localidad espectacular, maravillosa, que lo tiene todo, y no necesita cosas como ésta. Habría que reflexionar un poco..",Museo de las Momias,Male,-1,España,2018,1
35,"""Horrible""","""¡¡¡No vayan en serio no vayan!!! No sólo es un espectáculo morboso pues las momias no tienen ni ropa ni nada que pueda considerarse un aporte cultural, además para entrar pasa uno formando horas y los alrededores o la entrada son asquerosos hay muchísima basura está más que sucio huele espantoso, no hay sanitarios, es horrible. No vayan.""",Museo de las Momias,Female,49,México,23/03/2018,1
36,"""¡Una estafa!""","""Este museo de tres pisos se vende como sede de muchas obras de Diego Rivera, sin embargo, después de recorrer todo el museo, y ante la frustración de no encontrar más que dibujos y bocetos, decidí preguntarle a uno de los guardas, aquí me aclaró que las obras de dos pisos completos se encuentran en restauración, y en otra exhibición en Japón. No dejando así al público ni una sola hora de pintura para apreciar.""",Casa de Diego Rivera,Male,48,Nicaragua,19/12/2015,1
37,"""¡TÉTRICO!""","""Fuimos en un tour turístico y este lugar formaba parte del recorrido. ¡TÉTRICO! No sé me ocurre otra palabra para describirlo. Obscuros y estrechos pasillos con vitrinas donde se exponen los 'cadáveres' convertidos en momias de forma natural...Su exposición al público, me parece incluso una total falta de respeto. ¿O será que en vida les preguntaron si les gustaría que la gente los visitara en semejante estado?""",Museo de las Momias,Female,28,España,09/04/2015,1
38,"""Nada interesante""","""El monumento esta bien... pero cuando subes súper sucio. Y el 'museo' consta de 2 réplicas del Pípila.""",Monumento Pípila,Female,29,México,27/04/2012,1
39,"""De pésimo gusto""","""Esta era una de las paradas de nuestro tour, creímos que era algo diferente así que decidimos tomarlo pues creíamos que valía la pena, luego nos dimos cuenta que las dichosas momias no eran más que cuerpos deshidratados, cuyas familias no habían pagado un impuesto que en Guanajuato se llama de perpetuidad y eso le permite al estado profanar las tumbas y exhibir aquellos cuerpos que están bien conservados ya sea por lo minerales de la tierra el frío o alguna otra cosa que exista en Guanajuato, la verdad fue lo único que no me gustó de esta maravillosa ciudad no se pierden de nada si no van mejor coman una nieve en el centro.""",Museo de las Momias,Female,36,Colombia,27/01/2016,1
40,"""¡Pésimo!""","""Por error tomamos un tour por la ciudad que incluía una parada en este sitio (De hecho el tour no vale la pena, este lugar tampoco).  Como muchas personas lo mencionan, esta pareciera ser un atractivo de la ciudad. Sin embargo, el poco respeto por la dignidad de aquellos que murieron y no pudieron permanecer enterados, le quita cualquier tipo de gracia al lugar. Poco ilustrativo, poco respetuoso con los muertos y sus pasados. No vale la pena ser visitado.""",Museo de las Momias,Male,55,España,04/06/2016,1
41,"""Ocupas mucha curiosidad o ganas de ir""","""Hay muchas mejores cosas que hacer en la ciudad. Demasiado cansado para niños pequeños y adultos mayores porque las colas para entrar duran como 2 hrs y a la interperie. El recorrido es corto a menos que te detengas a ver cada mínimo detalle y leer historias macabras. La atención al turista es nula. Cero amables y todos con mala cara, pero pues entendible por la cantidad impresionante de gente que lo visita en periodo de vacaciones.""",Museo de las Momias,Female,43,México,30/12/2017,1
42,"""No es para recomendarse""","""Las famosas momias de Guanajuato. El museo en sí es horrible, y no por lo que exhiben sino como lo exhiben. Mi abuelo me contó que hace 40 años para visitar las momias había que entrar al panteón pasear entre las tumbas y darle una propina al sepulturero que levantaba una pesada aldaba para después bajar por una escalera de caracol a la lúgubre cripta. Ahí los cuerpos alineados uno tras otro y a ambos lados de un estrecho pasillo había que pasar entre ellas sin cristales de por medio. Suena más escalofriante pero mucho más auténtico... lo debieron haber dejado así y limitar el número de personas que las pudieran visitar diariamente quizás unas 100 y haber cobrado más. Pero bueno se ve que el museo es una muy buena fuente de ingresos para el erario de esta bella ciudad. Recomiendo visitarlo sí y sólo si ya visitaron todas las demás atracciones y bellezas que ofrece Guanajuato si les queda tiempo pues esta bien.""",Museo de las Momias,Male,48,México,02/07/2013,1
43,"""ES UNA TOTAL BURLA LO QUE OFRECE ESTE LUGAR""","""Antes que nada quiero manifestar mi respeto para la gente de la ciudad de Guanajuato, pero la verdad esto de ir a las momias es UNA TOTAL BURLA SEÑORES. Para fines de trasladarte es un total caos y lo peor de todo es que tienes que hacer un filolononoooonn hasta parace que estan dando televisores de esas de Gobierno, muchísima gente y la verdad para lo que cuesta y ofrecen, creo que no es lo más justo a estudiantes les cobran como 37 y al público en general como 57 o 60 pesos, y lo peor de todo las instalaciones del lugar es un total horno de microondas o un temazcal, por que uff huele mucho a PASUCO, YA SABRAN. No hay nada de ventilacion y creánmelo o no las momias estan en vitrimas pero si desprenden olor imaginense sin ventilación y oler eso viejo alguna enfermedad puedes contraer la verdad es un total lavado de dinero en eso de que cuidan y mantienen el lugar con lo que cobran. Te pasan a una sección donde de verdad no sé si sea un crematorio o museo por que huele horrible señores la verdad si quieren algo de calidad vayan a la Ex hacienda del cochero de la Santa inquisición, lo peor de todo es que la gente va en grupos de 30 o 20 y los guías al final quieren dinero, sí de por si es caro y luego propina... nombre NI LA BURLA PERDONAN.""",Museo de las Momias,Female,21,México,28/12/2015,1
44,Un robo,"No conseguimos entrar porque nos querian cobrar mas por la camara que por nosotros mismos, no saben como sacar el dinero al turista",Alhóndiga,Male,-1,España,2019,1
45,Horrible mantenimiento,"Sucio, venden puras baratijas; maloliente. Artesanías de baja calidad. Cada año que voy está peor. Evítenlo",Mercado Hidalgo,Male,-1,México,2019,1
46,"""Decepcionante Callejón del Beso""","""Verdaderamente no vale la pena visitar este lugar, es mediocre y las narraciones que ahí se escuchan son penosamente baratas. Hay muchos lugares y espacios mucho más lindos en la ciudad de Guanajuato que sí vale la pena visitar.""",Callejón del Beso,Male,26,México,25/01/2015,1
47,"""Huele horrible""","""Lleno de gente, guías que no te dejan en paz y parece baño público porque huele horrible.""",Callejón del Beso,Female,27,México,14/06/2012,1
48,"""No es como lo pintan""","""Había escuchado hablar mucho sobre el museo pero la verdad me decepcionó bastante. El museo está muy retirado del centro y la subida se hace pesada. Por otro lado tuvimos que esperar 40 minutos para poder sacar lo tickets ya que estaba atascado de gente. Si no se va con mucho tiempo no merece la pena, hay mil atractivos turísticos en la ciudad de Guanajuato mucho más interesantes que esto.""",Museo de las Momias,Male,47,Chile,26/07/2016,1
49,"""Morbo""","""No tiene uno nada que hacer en ese sitio con tantas cosas bellas que conocer en esa hermosa ciudad. En esta ocasión TAMPOCO fuimos, y a decir verdad no tiene sentido ir a eso.""",Museo de las Momias,Male,58,México,24/06/2013,1
50,"""Me decepcionó""","""Es para gustos peculiares. No me pareció agradable, pero supongo que haya a quienes pueda gustarle. Me sentía mal tomando fotos. Recorrido de 10 minutos. No me sorprendió.""",Museo de las Momias,Female,27,México,27/06/2016,1
51,"""Totalmente abandonado""","""El callejón de beso es un lugar que todo el mundo visita y está totalmente abandonado, olia a orines, las paredes todas rayadas, la pintura vieja, totalmente deteriorado y descuidado.""",Callejón del Beso,Female,34,México,27/01/2013,1
52,"""Aburrídisimo""","""Clásico museo enfadoso que tiene cosas antiguas que a nadie le interesan, tipo ""cuchara de 1995"" o copias de documentos que nadie va a leer etc, verla por fuera y leer la historia es lo que vale la pena.""",Alhóndiga,Male,53,México,16/07/2017,1
53,No lo cuidan,"Cuando te imaginas el mercado de Guanajuato piensas lo mejor, buena comida, muchas cosas típicas y más aun al verlo por fuera, pero al entrar está horrible, mal cuidado, huele mal, no se antoja comer en el lugar.",Mercado Hidalgo,Male,-1,México,2018,1
54,Sufrí discriminacion,"Pésimo servicio de las personas que atienden los locales para
subir a los balcones, me trataron pésimo al decirles que quería 
tomarme una foto con mi pareja (mujer) a lo cual la persona se
negó a darnos información y mencionaba que solo era para 
hombre y mujer, nos trató mal. 
Que triste que estos negocios manejen poca o nula tolerancia
para grupos vulnerables.
Si visitas este lugar y eres gay, lesbiana, trans corres el riesgo
que te traten mal, que no respeten tus derecho y que además te 
insulten diciendo que si no habíamos entendido era nuestro 
problema, hablándonos con groserías y empujándonos",Callejón del Beso,Female,-1,México,2019,1
55,"""Don't bother""","""This mercado is just like every mercado that I have visited in Mexico. This one is maybe a little worse. The only reason to go is if you need to stock up on fruit and veggies.""",Mercado Hidalgo,Male,24,México,02/08/2016,1
56,Muy Malo,Lo puedes brincar esta lejos y no vale la pena en lo más mínimo mejor visitar las momias en alguna exposición itinerante nosotros Pgamos completo el boleto y no nos incluyeron. Todo el recorrido malo chiquito no vale la pena la vuelta mejor ver otras cosas...en gto,Museo de las Momias,Male,-1,N/I,2019,1
57,"""NO gastes tu TIEMPO""","""Es un lugar patético, lo más horrible de Guanajuato, NO entiendo porque es famoso el lugar, sus alrededores muy sucios , el edificio también no vale la pena gastar el tiempo de tu visita en algo tan pobre, tiendo tantos lugares llenos de cultura en la Ciudad.""",Museo de las Momias,Female,46,México,09/08/2015,1
58,"""Abandonado y en mal estado""","""Lástima el descuido de esta bella propiedad y además de estar en mal estado cobran la entrada, por tomar foto y videos. Es un lugar con posibilidades, pero no está buenas condiciones.""",Monumento Pípila,Male,31,Argentina,30/12/2014,1
59,Emblemático,"Si vas en pareja es el sitio obligatorio, es especial que subas
y se besen en el tercer escalón, muy romántico y 
emblemático",Callejón del Beso,Female,-1,México,2017,1
60,"""Sucio""","""Es un lugar turístico, huele a basura, los vendedores ambulantes afean la zona, está descuidado por las autoridades.""",Mercado Hidalgo,Female,-1,México,06/08/2017,1
61,"""Decepción""","""El museo deja mucho que desear... yo fui hace varios años y simplemente esta muy sin chiste. Tengan cuidado con los 'guías son necios y quieren que te estaciones muy lejos del museo, nosotros no batallamos nada para estacionarnos justo en el museo.""",Museo de las Momias,Male,-1,México,02/01/2015,1
62,"""Decepcionante""","""Muchos años presumí el recuerdo que guardaba de este mercado, con cosas típicas, con musica en vivo y una gran vida dentro, ahora pude ver productos baratos de importación dudosa y con poca limpieza, no es un lugar que desee mostrar a visitantes a los que presumo Guanajuato o México.""",Mercado Hidalgo,Male,40,México,14/08/2017,1
63,"""¡ATASCADO!""","""Es una atracción pues bonita, pero lo malo es que es muy estrecho y llevan a todos los turistas al famoso callejón, obviamente toda la gente y los amontonamientos le quitan todo lo romántico al callejón.""",Callejón del Beso,Female,35,México,08/04/2015,1
64,"""La chica de recepción""","""Llegamos 15 minutos antes de cerrar. Y la chica de la entrada muy grosera, no nos permitió entrar diciendo que ella sale a las 2:30. Pésimo servicio.""",Casa de Diego Rivera,Female,57,México,08/05/2016,1
65,Una estafa!,"Este museo de tres pisos se vende como sede de muchas obras de Diego Rivera, sin embargo, después de recorrer todo el museo, y ante la frustración de no encontrar más que dibujos y bocetos, decidí preguntarle a uno de los guardas, aquí me aclaró que las obras de dos pisos completos se encuentran en restauración, y en otra exhibición en Japón. No dejando así al público ni una sola hora de pintura para apreciar.",Casa de Diego Rivera,Male,-1,Nicaragua,2017,1
66,No abren,"Es un atractivo turístico, la gente va en fechas de turismo y el Museo no abre para las fechas que la gente va un absurdo total",Casa de Diego Rivera,Male,-1,Colombia,2019,1
67,"""Pequeño, muy caro, morboso""","""Siempre anexan expos (por ejemplo 'El museo de la tortura') para sacar más dinero. ¿Cómo Guanajuato exhibe este museo con orgullo teniendo otras opciones históricas y culturales más interesantes? No me parece una propuesta ética 'el acervo' de este museo.""",Museo de las Momias,Female,24,México,14/05/2015,1
68,Olores nauseabundos.,"Es una lastima y da coraje que la zona turística de callejones
en Guanajuato huele horrible. 
Falta mucha atención y limpieza en ese aspecto.
Debería existir cámaras de CCTV en toda esa área, especial-
mente en los rincones donde el olor es nauseabundo debido
a orines y excremento",Callejón del Beso,Male,-1,N/I,2018,1
69,"""Excelente lugar, pero los merólicos no dejan disfrutarlo""","""Las personas que supuestamente cuentan la leyenda del callejón parecen moscas cuando uno llega y tienen modos muy poco amigables para el turismo, todo con tal de obtener unos cuantos pesos más.""",Callejón del Beso,Male,43,México,16/01/2015,1
70,Descuidadísimo,"La fachada estilo art noveau y su torre es lo único por lo que le puse dos estrellas. El lugar es un chiquero, sucio, descuidado. 70% de los puestos te venden las mismas cosas. Precios de regulares a caros.",Mercado Hidalgo,Male,-1,México,2018,1
71,"""¡Pésimo! No gastes tu dinero ahí""","""El lugar está horrible, espacios muy reducidos, dejan entrar tanta gente que ni cabe en las salas y eso que están 'regularizando' la entrada, todo esta manoseado, hay poca ventilación, muy malas condiciones, deplorable. Definitivamente no gastes tu dinero ahí, mejor ve a gastarlo en dulces en la tienda de La catrina.""",Museo de las Momias,Female,18,México,06/08/2015,1
72,"""Callejón del beso""","""Un lugar que se ha descuidado. Esta sucio y demasiado aglomerado. Definitivamente no es para visitar en familia. Y se requiere de algún orden que administre el sitio.""",Callejón del Beso,Female,37,Ecuador,05/01/2016,1
73,"""Una estúpidez""","""Te cuentan de una leyenda inventada para llevar turistas a un callejón para sacarles propina. No me gusto, no lo recomiendo.""",Callejón del Beso,Male,40,Argentina,21/11/2015,1
74,"""No es apto para niños""","""El lugar no es categoría para museo, no es apto para niños y personas sensibles a cosas muy impresionantes, la verdad no lo recomiendo si vas con niños menores de 12 años, sugiero leas antes de ir para que veas imágenes en Internet de lo que hay ahí, ya que no son agradables de vista y es algo muy impactante ya que son personas muertas. Nosotras llevamos a mi bebé y nos salimos a los 2 min es algo que no es apto para menores. Además el lugar esta descuidado.""",Museo de las Momias,Female,32,México,24/06/2017,1
75,"""Horrible""","""No muestran el fundamento científico sobre el proceso de momificación, sólo muestran cadáveres, algunos de ellos con expresiones de miedo y angustia y la zona es horrible.""",Museo de las Momias,Female,50,México,21/07/2014,1
76,"""Es más viejo que las momias""","""En condiciones mediocres, demasiado personal para lo que es, igual el precio, solo vengan si no conocen las momias y por lo iconico que son para la ciudad pero necesitan una renovación urgenteeeeeeeeeeee.""",Museo de las Momias,Male,42,Perú,29/05/2017,1
77,"""DE MAL GUSTO""","""En mi opinión, no me agrado nada entrar a ese lugar, es tenebroso y nada bonito estar viendo muertos momificados, la verdad es un lugar que nunca más volvería a ir pero repito es un lugar que es típico de Guanajuato y mucha gente lo visita.""",Museo de las Momias,Female,35,México,15/08/2012,1
78,No recomendable para personas sensibles,"Honestamente, no me parece un lugar para visitar. Ver personas muertas, en mi opinión, debería ser una actividad reservada para científicos. Creo que los cuerpos momificados merecen el respeto de permanecer sepultados. Algunos tienen menos de 20 años. Hay otras cosas que hacer en Guanajuato. No lo recomiendo y menos para personas sencibles. La energía es perturbadora.",Museo de las Momias,Male,-1,México,2020,1
79,"""Cual baño público""","""Pareciera que los guías casi te quieren cobrar por acercarte al callejón cuando es un espacio público, está asqueroso parece y huele como un baño público sucio, lleno de chicles y rayones. Ojalá hagan algo por rescatar este punto tan atractivo al turismo.""",Callejón del Beso,Female,29,México,28/05/2014,1
80,"""Visita a las momias""","""En lo personal no me gustó, demaciado creapy e impactante para mí, ver momias de niños, y la historia de lo trágico que muerieron algunos. La energía es pesada y por eso no me gustó.""",Museo de las Momias,Female,-1,Nicaragua,27/10/2016,1
81,Chorrada máxima,"Un callejón estrecho, sin más ni más, con """"""""guías"""""" 
insistiendo en contarte la historia del callejón por una 
módica propina, y el lugar a rebentar de gente esperando
para hacer una foto imposible.",Callejón del Beso,Male,-1,España,2019,2
82,"""Momias NO""","""Mmmmm no quisiera volver a ir... ¿ver pura gente muerta? ¿En vacaciones? ¿Señoras con sus bebés? No sé ni porque fui.""",Museo de las Momias,Female,21,México,13/04/2017,2
83,"""Turismo falso""","""Es el segundo lugar más visitado del estado y ni siquiera es real. ¿Qué onda con eso? A mí no me gustó y no pienso regresar.""",Museo de las Momias,Male,32,México,21/04/2017,2
84,No era lo que esperaba,"Me pareció sucio y lleno de vendedores ambulantes que no te permiten disfrutar el lugar y el momento, especialmente por la tarde y noche. Lo lindo es que ahí se concentran estudiantiles para salir a las callejoneadas. Que bueno que no seleccioné un hotel de ahí, no hubiera podido dormir en toda la noche !!!",Jardín de la Unión,N/I,-1,México,2018,2
85,"""Sólo para niños""","""Sí no vas con niños, sin duda lo puedes evitar. La ciudad de Guanajuato ofrece mil cosas mejores. Está a la máxima potencia. Con niños sí ve, les da mucha curiosidad.""",Museo de las Momias,Male,48,México,03/02/2015,2
86,"""Muy cara la entrada""","""La verdad no ofrece tanto, y pienso que es el museo que más cobra después de el de las momias.""",Alhóndiga,Female,27,México,02/09/2011,2
87,"""Muy caro para ver solo momias""","""Fuimos al museo con la intención de ver las famosas momias de Guanajuato, pero al ver el precio de la entrada se nos quito el ánimo. Preguntando por el museo, nos enviaron por unos escalones para subir al panteón; esos escalones son para personas jóvenes, subimos en partes para poder descansar. Al dejar el panteón, nos dimos cuenta que puedes llegar por una calle sin subir escalones. Demasiado tarde. Falta más información sobre la forma de subir al panteón y museo.""",Museo de las Momias,Male,64,México,24/03/2016,2
88,"""15 minutos de entretenimiento""","""El lugar está bien cuidado pero con poquísima obra de Diego Rivera; es más bien un lugar anecdótico para entretenerse 15 minutos.""",Casa de Diego Rivera,Male,51,Estados Unidos,03/02/2016,2
89,"""Aburrido""","""Está aburrido ir, es algo que puedes ahorrarte, está bonita la vista panorámica de la ciudad pero en sí el monumento está aburrido.""",Monumento Pípila,Female,34,México,29/03/2018,2
90,"""Esperaba más""","""Solo una pequeña explicación de un video en 5 minutos. El museo los recorres en 20. Para mí no vale la pena. Hay sitios mucho más lindos e interesantes en Guanajuato.""",Museo de las Momias,Male,40,Argentina,23/06/2016,2
